CustomerID,Name,Email,Phone,City,Age,Gender,Income,Membership,State,Country
339,Alice,alice@gmail.com,987-654-3210,Phoenix,40.0,Female,,Silver,Montana,Cuba
9994,Charlie,charlie@gmail.com,555-555-5555,Los Angeles,,Male,30000,Basic,Alaska,Vietnam
8929,Grace,grace@gmail.com,,New York,,Female,75000,Basic,Florida,Egypt
5721,Alice,alice@gmail.com,123-456-7890,Houston,25.0,Male,60000,Gold,Hawaii,Benin
3615,Alice,alice@gmail.com,,,40.0,Male,1000000,Gold,West Virginia,Moldova
4310,Frank,frank@gmail.com,,Chicago,25.0,Female,75000,Silver,Vermont,Lesotho
8985,Frank,frank@gmail.com,987-654-3210,,40.0,Male,75000,Basic,Texas,Syrian Arab Republic
2493,Grace,grace@gmail.com,123-456-7890,Chicago,,Female,,Silver,Washington,Aruba
9655,Eva,eva@gmail.com,123-456-7890,Chicago,40.0,Female,30000,Basic,North Dakota,Guyana
7762,David,david@gmail.com,987-654-3210,new york,30.0,Male,45000,Gold,Virginia,Saint Lucia
4853,Bob,bob@gmail.com,,Phoenix,35.0,Female,Unknown,Platinum,New Mexico,Faroe Islands
2092,Frank,frank@gmail.com,,Phoenix,45.0,Male,30000,Basic,Connecticut,Ethiopia
2612,Grace,grace@gmail.com,987-654-3210,New York,25.0,Male,,Basic,Indiana,Micronesia
6990,David,david@gmail.com,,,45.0,Female,75000,Silver,Ohio,Bhutan
850,Frank,frank@gmail.com,987-654-3210,Los Angeles,30.0,Male,60000,Silver,Michigan,Senegal
9207,Grace,grace@gmail.com,,New York,45.0,Female,45000,Basic,Connecticut,Faroe Islands
2263,Frank,frank@gmail.com,123-456-7890,Los Angeles,30.0,Male,30000,Basic,South Carolina,Sudan
4345,Eva,eva@gmail.com,987-654-3210,Phoenix,25.0,Female,30000,Silver,Alabama,Guinea-Bissau
9808,Eva,eva@gmail.com,,Phoenix,,Female,60000,,Connecticut,Sudan
4954,David,david@gmail.com,,,40.0,Male,Unknown,Platinum,Florida,Korea
3350,Bob,bob@gmail.com,555-555-5555,Chicago,,Female,60000,Gold,Arkansas,Trinidad and Tobago
6989,Eva,eva@gmail.com,,new york,40.0,Female,60000,Platinum,South Dakota,American Samoa
9457,David,david@gmail.com,123-456-7890,new york,45.0,,45000,Basic,South Carolina,Svalbard & Jan Mayen Islands
2178,Alice,alice@gmail.com,987-654-3210,New York,45.0,Male,30000,Basic,New Hampshire,Myanmar
4033,Frank,frank@gmail.com,123-456-7890,Los Angeles,45.0,Other,1000000,Basic,Arizona,El Salvador
2960,Bob,bob@gmail.com,123-456-7890,,,Female,30000,Gold,Hawaii,Cayman Islands
1283,Charlie,charlie@gmail.com,123-456-7890,Houston,45.0,Female,45000,Platinum,Alaska,Seychelles
7787,Frank,frank@gmail.com,,,30.0,Other,75000,Basic,Virginia,Croatia
3927,Alice,alice@gmail.com,987-654-3210,Chicago,25.0,Female,60000,Basic,Florida,Japan
637,Eva,eva@gmail.com,987-654-3210,Chicago,30.0,Female,45000,Platinum,Indiana,Bangladesh
4504,David,david@gmail.com,555-555-5555,new york,,Female,1000000,Silver,North Dakota,Bermuda
7556,Eva,eva@gmail.com,123-456-7890,Houston,40.0,Female,75000,Gold,California,Myanmar
4237,Grace,grace@gmail.com,555-555-5555,Phoenix,40.0,Male,45000,Silver,Washington,Netherlands
128,Charlie,charlie@gmail.com,987-654-3210,Phoenix,45.0,Male,Unknown,Basic,California,United States Minor Outlying Islands
1212,Alice,alice@gmail.com,123-456-7890,Phoenix,35.0,Female,30000,Gold,Missouri,Congo
2823,Charlie,charlie@gmail.com,987-654-3210,,35.0,,60000,Silver,Georgia,Myanmar
2539,Frank,frank@gmail.com,,new york,35.0,Female,Unknown,Basic,Hawaii,Cote d'Ivoire
687,Frank,frank@gmail.com,987-654-3210,new york,25.0,Female,1000000,,Texas,Saint Kitts and Nevis
2418,Eva,eva@gmail.com,987-654-3210,Chicago,45.0,Female,45000,Basic,Virginia,Ireland
3070,Frank,frank@gmail.com,123-456-7890,Los Angeles,45.0,Male,30000,Silver,Hawaii,Ecuador
